model,mse_mean,mse_std,mae_mean,mae_std,r2_mean,r2_std,repetitions
linear_regression,0.15,0.247,0.26,0.164,-8.15,20.083,10
lasso,0.09,0.061,0.257,0.097,-1075.611,4293.612,10
elastic_net,0.086,0.051,0.252,0.086,-5.665,18.146,10
knn,0.083,0.06,0.233,0.1,-368.846,1468.87,10
sgd,0.079,0.053,0.236,0.084,-31.102,118.264,10
ridge,0.072,0.05,0.227,0.086,-61.867,244.67,10
ensamble2,0.057,0.047,0.194,0.079,-65.811,261.328,10
ensamble3,0.056,0.04,0.193,0.076,-14.068,50.872,10
svr,0.047,0.035,0.176,0.07,-74.631,297.153,10
random_forest,0.032,0.034,0.134,0.072,-9.695,38.87,10
