,eliminado,mae,model,paredao,pred,pred_pct,rejeicao,repeticao,mean_absolute_error,correct
0,lucas_chumbo,0.33826125761610415,linear_regression,1.0,lucas_chumbo,0.9758336624241254,0.7594,0.0,0.21643366242412543,True
1,petrix,0.1513424610302863,linear_regression,2.0,petrix,0.45323341726282357,0.8027,0.0,0.3494665827371764,True
2,hadson,0.13235448594489768,linear_regression,3.0,hadson,0.6472710047514785,0.7970999999999999,0.0,0.14982899524852145,True
3,lucas,0.20484095004994152,linear_regression,4.0,lucas,0.5193006423901669,0.6262,0.0,0.10689935760983305,True
4,bianca_andrade,0.2616015825580442,linear_regression,5.0,felipe_prior,0.583902436530313,0.5309,0.0,0.053002436530313,False
5,guilherme,0.2057041074267111,linear_regression,6.0,guilherme,0.45235619579788094,0.5607,0.0,0.10834380420211903,True
6,victor_hugo,0.7076779421496969,linear_regression,7.0,victor_hugo,0.03833202775469798,0.8522,0.0,0.8138679722453019,True
7,pyong,0.1715449700463545,linear_regression,8.0,pyong,0.6977289204647916,0.517,0.0,0.1807289204647916,True
8,daniel,0.16295441339786532,linear_regression,9.0,daniel,0.7440551347883817,0.8081999999999999,0.0,0.06414486521161822,True
9,felipe_prior,0.6414551682006783,linear_regression,10.0,felipe_prior,1.7935693030707318,0.5672999999999999,0.0,1.226269303070732,True
10,gabi,0.2178753403378945,linear_regression,11.0,gabi,0.5156968811050027,0.5961,0.0,0.0804031188949973,True
11,marcela,0.08569083917788271,linear_regression,12.0,marcela,0.5415199049040962,0.4976,0.0,0.043919904904096196,True
12,flayslene,0.10004084365557042,linear_regression,13.0,flayslene,0.48803154210727034,0.63,0.0,0.14196845789272966,True
13,gizelly_bicalho,0.1856573955437526,linear_regression,14.0,babu,0.3909668539311952,0.5478999999999999,0.0,0.15693314606880476,False
14,ivy,0.31840916240333045,linear_regression,15.0,rafa,0.5303063692047976,0.7417,0.0,0.21139363079520246,False
15,mari,0.12339907641966179,linear_regression,16.0,manu_gavassi,0.502024671699333,0.5416,0.0,0.03957532830066701,False
16,babu,0.3848187540372481,linear_regression,17.0,rafa,0.6350468841657579,0.5715,0.0,0.06354688416575793,False
17,lucas_chumbo,0.08447226302735664,svr,1.0,lucas_chumbo,0.6214706998785416,0.7594,0.0,0.13792930012145832,True
18,petrix,0.17898558233321438,svr,2.0,petrix,0.5166944761535316,0.8027,0.0,0.2860055238464684,True
19,hadson,0.22358370813768091,svr,3.0,hadson,0.6720610808686748,0.7970999999999999,0.0,0.12503891913132514,True
20,lucas,0.2557144505876802,svr,4.0,lucas,0.4914429704049575,0.6262,0.0,0.1347570295950425,True
21,bianca_andrade,0.15778027561332578,svr,5.0,felipe_prior,0.32532301123392404,0.5309,0.0,0.205576988766076,False
22,guilherme,0.10762392825099919,svr,6.0,guilherme,0.7230274656693059,0.5607,0.0,0.1623274656693059,True
23,victor_hugo,0.22421785327029442,svr,7.0,victor_hugo,0.35525445173727815,0.8522,0.0,0.4969455482627218,True
24,pyong,0.109576988653323,svr,8.0,pyong,0.6438434781844464,0.517,0.0,0.1268434781844464,True
25,daniel,0.19176542888957562,svr,9.0,daniel,0.6991975664973614,0.8081999999999999,0.0,0.1090024335026385,True
26,felipe_prior,0.1767950746185207,svr,10.0,manu_gavassi,0.30976420510260644,0.5672999999999999,0.0,0.2575357948973935,False
